厂商id,年,月份,厂商名称,品牌id,子品牌id,子品牌名称,销量,页码,dt
373,2020,2,几何汽车,373,3362,几何A,50,6,20230112
59,2020,2,玛莎拉蒂,59,1182,Levante,23,6,20230112
385,2020,2,长安林肯,385,3591,冒险家,47,6,20230112
307,2020,2,长安跨越,307,2871,长安V3,47,6,20230112
280,2020,2,汉腾汽车,280,2506,汉腾X7,17,6,20230112
25,2020,2,福特（进口）,25,657,Mustang,30,6,20230112
100,2020,2,郑州日产,100,764,NV200,39,6,20230112
97,2020,2,英菲尼迪(进口),97,1791,Q70,18,6,20230112
64,2020,2,宾利,64,1402,添越,20,6,20230112
169,2020,2,众泰,169,2240,众泰E200,8,6,20230112
225,2020,2,腾势,225,3628,腾势X PHEV,27,6,20230112
235,2020,2,宝马M,235,1824,宝马M2,13,6,20230112
278,2020,2,东风汽车,278,3222,俊风E11K,30,6,20230112
312,2020,2,君马汽车,312,3191,君马SEEK 5（赛克5）,23,6,20230112
262,2020,2,江西五十铃,262,2119,五十铃mu-X牧游侠,26,6,20230112
455,2020,2,速达,455,4165,速达SA01,24,6,20230112
42,2020,2,阿尔法-罗密欧,42,2654,Giulia,11,6,20230112
185,2020,2,一汽吉林,185,3513,森雅R9,18,6,20230112
258,2020,2,潍柴英致汽车,258,2298,英致737,14,7,20230112
82,2020,2,华晨雷诺,82,2762,金杯F50,14,7,20230112
329,2020,2,江淮大众,329,3129,思皓E20X,17,7,20230112
342,2020,2,大乘汽车,342,3236,大乘G60s,12,7,20230112
335,2020,2,零跑汽车,335,3190,零跑S01,15,7,20230112
289,2020,2,驭胜,289,865,驭胜S350,14,7,20230112
210,2020,2,广汽本田,210,3240,广汽本田VE-1,14,7,20230112
162,2020,2,天津一汽,162,3093,骏派D80,12,7,20230112
87,2020,2,陆风汽车,87,3398,陆风荣曜,12,7,20230112
41,2020,2,劳斯莱斯,41,2447,库里南,5,7,20230112
110,2020,2,北汽制造,110,1253,勇士,7,7,20230112
163,2020,2,昌河铃木,163,44,北斗星,9,7,20230112
332,2020,2,云雀汽车,332,3153,全界Q1,10,7,20230112
315,2020,2,领途汽车,315,2973,领途E行,10,7,20230112
295,2020,2,江铃集团新能源,295,3358,易至EV3,7,7,20230112
437,2020,2,开沃汽车,437,4035,开沃D07,10,7,20230112
395,2020,2,东风本田,395,3493,东风本田X-NV,10,7,20230112
216,2020,2,北汽威旺,216,2664,北汽威旺M50F,8,7,20230112
367,2020,2,国机智骏,367,3465,国机智骏GX5,6,7,20230112
193,2020,2,开瑞汽车,193,2128,开瑞K50,4,7,20230112
66,2020,2,兰博基尼,66,1385,Urus,6,8,20230112
390,2020,2,汉龙汽车,390,3664,旷世,8,8,20230112
249,2020,2,北汽幻速,249,2315,幻速S6,7,8,20230112
234,2020,2,Audi Sport,234,534,奥迪R8,2,8,20230112
108,2020,2,道奇（进口）,108,2035,Challenger,6,8,20230112
217,2020,2,DS汽车,217,3061,DS 7,3,8,20230112
106,2020,2,华泰汽车,106,835,宝利格,2,8,20230112
339,2020,2,广汽三菱,339,3253,祺智EV,5,8,20230112
29,2020,2,阿斯顿·马丁,29,2260,DB11,4,8,20230112
156,2020,2,smart(进口),156,377,smart fortwo,4,8,20230112
326,2020,2,爱驰,326,3101,爱驰U5,4,8,20230112
303,2020,2,云度,303,2849,云度π1,4,8,20230112
215,2020,2,东风裕隆,215,2904,纳智捷U5 SUV,2,8,20230112
88,2020,2,一汽海马,88,2390,福美来七座版,3,8,20230112
37,2020,2,法拉利,37,2964,Portofino,2,8,20230112
229,2020,2,迈凯伦,229,2793,迈凯伦720S,2,8,20230112
112,2020,2,西雅特,112,370,LEON,2,8,20230112
