年,月份,品牌id,厂商id,子品牌id,车系id,车系名称,级别,类型,销量,指导价,页码,dt
2020,1,17,54,643,643,福瑞迪,紧凑型,三厢,1244,8.08-10.48万元,13,20230112
2020,1,26,89,3548,3548,比亚迪e2,紧凑型,两厢,1243,9.58-14.58万元,13,20230112
2020,1,116,211,905,905,北京BJ40,紧凑型,SUV,1238,15.98-27.29万元,13,20230112
2020,1,167,279,3088,3088,风光ix5,中型,SUV,1216,9.98-16.59万元,13,20230112
2020,1,8,58,1380,1380,昂科拉,小型,SUV,1214,12.59-15.59万元,13,20230112
2020,1,12,94,3067,3067,途达,中型,SUV,1210,16.98-24.83万元,13,20230112
2020,1,225,344,3274,3274,理想ONE,中大型,SUV,1207,34.98万元,13,20230112
2020,1,4,1,1613,1613,宝马X4,中型,SUV,1198,46.19-65.99万元,13,20230112
2020,1,136,230,1684,1684,哈弗H7,中型,SUV,1193,14.20-17.30万元,13,20230112
2020,1,137,231,1503,1503,北京U5,紧凑型,三厢,1185,6.99-9.99万元,13,20230112
2020,1,4,1,1941,1941,宝马X7,大型,SUV,1181,100.00-172.90万元,13,20230112
2020,1,125,207,2084,2084,启辰T70,紧凑型,SUV,1172,10.98-12.78万元,13,20230112
2020,1,10,144,3417,3417,锐际,紧凑型,SUV,1158,16.98-22.18万元,14,20230112
2020,1,18,226,1462,1462,劲炫ASX,紧凑型,SUV,1134,9.98-13.98万元,14,20230112
2020,1,362,358,2645,2645,小蚂蚁,微型,两厢,1128,7.99-10.30万元,14,20230112
2020,1,39,214,3091,3091,海马8S,紧凑型,SUV,1117,7.99-13.69万元,14,20230112
2020,1,4,1,2691,2691,宝马6系GT,中大型,掀背,1111,58.89-68.89万元,14,20230112
2020,1,173,290,3651,3651,SWM斯威G05,中型,SUV,1110,6.99-11.69万元,14,20230112
2020,1,4,1,416,416,宝马5系（进口）,中大型,三厢,1110,42.99-60.99万元,14,20230112
2020,1,26,89,1959,1959,比亚迪唐DM,中型,SUV,1081,20.98-33.18万元,14,20230112
2020,1,42,286,1785,1785,金杯小海狮X30,,微面,1078,3.39-5.19万元,14,20230112
2020,1,23,57,2818,2818,天逸 C5 AIRCROSS,紧凑型,SUV,1074,15.27-16.97万元,14,20230112
2020,1,203,320,2983,2983,小鹏汽车G3,紧凑型,SUV,1073,16.89-20.19万元,14,20230112
2020,1,77,68,615,615,Panamera,大型,掀背,1065,99.80-247.60万元,14,20230112
2020,1,94,65,741,741,揽胜运动版,中大型,SUV,1055,90.80-189.80万元,14,20230112
2020,1,54,74,2553,2553,瑞虎3x,小型,SUV,1050,4.99-6.99万元,14,20230112
2020,1,48,90,3306,3306,瑞风S4,小型,SUV,1047,7.58-9.88万元,14,20230112
2020,1,3,8,2263,2263,奔驰GLS级,大型,SUV,1045,106.80-136.02万元,14,20230112
2020,1,20,101,1596,1596,胜达,中型,SUV,1019,20.28-27.28万元,14,20230112
2020,1,3,204,828,828,奔驰威霆,中大型,MPV,974,29.38-34.78万元,14,20230112
2020,1,94,270,2083,2083,揽胜极光,中型,SUV,969,38.98-47.58万元,14,20230112
2020,1,3,399,2092,2092,迈巴赫S级,大型,三厢,952,146.80-524.10万元,14,20230112
2020,1,125,207,2539,2539,启辰T90,中型,SUV,924,11.88-15.48万元,15,20230112
2020,1,26,89,3013,3013,比亚迪元Pro,小型,SUV,912,9.88-11.88万元,15,20230112
2020,1,157,264,2374,2374,凯翼X3,小型,SUV,886,6.39-7.59万元,15,20230112
2020,1,269,398,3802,3802,VGV U70,中型,SUV,880,7.79-11.89万元,15,20230112
